grams,count,sentiment
you don't have,15,-0.006666666269
golf course in,15,0.526666672
episode of the,15,0.2666666726
and a great,15,0.5562500041
interview with @gretawire,15,0.0999999987
very proud of,15,0.4812500058
all the way,15,0.2481481491
is a good,15,0.2000000035
of the greatest,15,0.4199999998
she is a,15,0.008333331905
you need to,15,0.06250000373
old post office,15,0.3809523845
great people of,15,0.2500000051
a very good,15,0.3647058865
the stock market,15,-0.1294117679
a fantastic job,15,0.5272727331
the world is,15,0.04444444511
the failing new,15,-0.5333333343
to our great,15,0.4375000019
that president obama,15,-0.3000000035
needs to be,15,-0.006666664779
is in the,15,0.006666668753
men &amp; women,15,0.2437500055
to talk about,15,0.0148148178
like a billionaire,15,0.3294117696
out to be,15,-0.1277777818
i would have,15,-0.1687500007
is going on,15,-0.1409090933
was going to,15,-0.3333333368
you for all,15,0.4666666692
"  
""@realdonaldtrump",15,0.1733333339
i am the,15,0.162500002
you have my,15,0.1600000034
great to be,15,0.5000000055
to meet with,15,0.1400000016
you believe that,15,-0.2625000053
all of my,15,0.3933333367
are with the,15,0.1470588257
we are with,15,0.1066666702
and great again!,15,0.3117647127
with prime minister,15,0.3466666703
tax cuts and,15,0.2933333392
fake news is,15,-0.4941176483
loves our military,15,0.4708333397
in the new,14,0.0578947381
did a great,14,0.4428571457
is having a,14,0.02000000228
that it is,14,-0.1750000003
is at a,14,-0.0222222238
in the united,14,0.1285714289
in the first,14,-0.05000000075
i will not,14,-0.04000000159
part of the,14,-0.06428571578
for the people,14,0.3120000017
he is,14,-0.006746032113
first time in,14,0.08571429072
i wonder if,14,-0.08571428327
at some point,14,-0.05625000177
coming back to,14,0.1666666685
of the year,14,0.2243243267
a great guy,14,0.5885714333
get rid of,14,-0.08666666796
there is a,14,-0.07894736724
just got back,14,0.400000006
the rest of,14,-0.04999999968
am going to,14,0.0714285693
they will be,14,0.04375000251
the united nations,14,0.0999999983
our country has,14,0.006250000093
will be there,14,0.2470588281
great to have,14,0.5714285736
i have ever,14,0.150000006
you will be,14,0.2866666724
to the u.s.,14,0.05319149
be on fox,14,0.2000000024
@realdonaldtrump for president,14,0.04074074107
millions of people,14,-0.06666666518
@realdonaldtrump run for,14,0.1000000025
the people who,14,-0.04999999915
- will be,14,0.2421052652
out and vote,14,0.2041666719
that crooked hillary,14,-0.526666674
history of our,14,0.1214285711
honor to host,14,0.4214285798
"strong on crime,",14,0.4062500042
was one of,13,0.1538461538
donald trump and,13,0.07857143294
this will be,13,0.09230769368
to watch the,13,0.2230769298
9 pm on,13,0.246153851
we have a,13,0.06666666915
on fox news,13,1.75E-09
want to thank,13,0.3461538513
make a great,13,0.3461538513
that we are,13,-0.01538461447
a president who,13,0.1000000003
is laughing at,13,-0.02307692342
@foxnews interview with,13,-0.02307692629
my @gretawire interview,13,-0.2384615369
do a great,13,0.4384615387
i don't think,13,-0.1384615422
monday at 7:30,13,0.1615384639
welcome to the,13,0.2500000069
on winning the,13,0.4692307808
all of our,13,0.313333338
will have a,13,0.3888888901
the blue monster,13,0.3600000019
in the world,13,0.3026666707
i am going,13,0.07692307463
for you to,13,0.07142857462
thank,13,0.3675362343
to win the,13,0.1428571461
our country needs,13,0.08333333375
@realdonaldtrump we need,13,0.1461538466
you want to,13,0.28461539
many of the,13,-0.05714285693
would like to,13,0.4153846164
military and our,13,0.4153846204
trump is a,13,0.1742857173
working hard to,13,-0.2076923085
is weak on,13,-0.1846153868
interviewed on @foxandfriends,13,0.2714285739
lyin' ted cruz,13,-0.2533333346
me live in,13,0.1538461573
of the american,13,0.1615384605
news media is,13,-0.3692307719
with north korea,13,-0.0821428589
my full and,13,0.4615384707
--donald j. trump,12,0.1083333362
night at 9,12,0.2756756796
tune in tonight,12,0.3230769279
in las vegas,12,0.305555558
all of your,12,0.3230769233
this morning on,12,0.3166666739
congratulations to my,12,0.6083333381
will be at,12,0.1384615411
to celebrate the,12,0.3833333328
obamacare is a,12,-0.3733333344
is a disaster.,12,-0.3615384649
the middle east,12,0.07368421006
time to get,12,-0.005882353905
it is,12,-0.0282894743
in trump tower,12,0.1588235322
"the white house,",12,0.1166666684
who wants to,12,-0.03846153732
he is the,12,0.1000000028
wall street journal,12,-0.1176470575
that we have,12,0.1384615411
many people are,12,-0.02500000472
are making america,12,0.3083333385
today at the,12,0.3333333352
may be the,12,-0.1749999964
not want to,12,-0.1749999995
while at the,12,-0.1750000014
at 7:30 am.,12,0.09047619253
have nothing to,12,-0.1916666701
is a complete,12,-0.2749999991
he was a,12,0.04285714456
the end of,12,-0.007692308953
course in the,12,0.5833333395
than any other,12,-0.02777777985
am. tune in!,12,0.06923077026
-- winston churchill,12,0.06428571684
for the republican,12,0.1812500004
for our country,12,0.1333333351
glad to hear,12,0.2166666699
we love you,12,0.5095238146
great to see,12,0.4250000094
doing a fantastic,12,0.5250000091
thanks for the,12,0.574999998
