year,tag,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2009,KathyBoudin,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,changeisnear,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,NoSanctuaryForCriminalsAct,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,JointSession,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,DWTS,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,Settlers,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,OldPostOffice,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,Obama,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,trumpgolf,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,dc,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,Humor,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,michael,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,RobartsArena,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,NewYorkNY,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,Bonding,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,MerryRollTideChristmas,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,BREAST,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,Trumponly,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,NeverAgain,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,rhoa,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,Imeanit,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
